City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,chernyshevskiy,63.0128,112.4714,244.81,97,100,2.86,RU,1702407842
83,bathinda,30.2,74.95,287.13,31,0,2.24,IN,1702407842
84,petropavlovsk-kamchatsky,53.0452,158.6483,260.48,72,75,5.0,RU,1702407842
85,georgetown,5.4112,100.3354,299.11,95,20,0.0,MY,1702407843
86,sonegaon,20.65,78.6833,292.53,62,67,1.68,IN,1702407843
87,lai chau,22.3997,103.4517,289.34,97,10,1.06,VN,1702407843
88,jamestown,42.097,-79.2353,280.12,53,0,8.75,US,1702407691
89,pout,14.7739,-17.0603,302.57,37,0,3.09,SN,1702407846
90,kotel'nikovo,47.6317,43.1461,267.44,77,100,11.14,RU,1702407847
91,iqaluit,63.7506,-68.5145,261.0,72,75,6.17,CA,1702407551
92,fale old settlement,-9.3852,-171.2468,301.66,77,100,4.44,TK,1702407847
93,eydhafushi,5.1033,73.0708,300.37,78,100,4.38,MV,1702407848
94,saint-francois,46.4154,3.9054,284.84,78,100,2.57,FR,1702407848
95,malango,-2.9627,119.9001,293.94,97,100,0.56,ID,1702407849
96,dhuusamarreeb,5.535,46.3861,299.97,55,93,6.38,SO,1702407849
97,abepura,-2.6333,140.5833,298.6,89,20,1.54,ID,1702407850
98,arauquita,7.0292,-71.4281,306.0,45,70,1.9,CO,1702407794
99,minas de marcona,-15.2119,-75.1103,294.92,56,34,6.01,PE,1702407850
100,puerto ayora,-0.7393,-90.3518,304.13,79,63,4.46,EC,1702407851
101,klyuchi,52.2667,79.1667,247.57,83,10,4.29,RU,1702407851
102,lihue,21.9789,-159.3672,296.18,89,100,2.06,US,1702407852
103,whitehorse,60.7161,-135.0538,275.58,75,100,8.75,CA,1702407594
104,olinala,17.8333,-98.85,297.08,44,5,1.74,MX,1702407852
105,taourirt,34.4073,-2.8973,293.15,40,96,1.29,MA,1702407853
106,ibiuna,-23.6564,-47.2225,300.81,56,4,4.56,BR,1702407854
107,qionghu,28.843,112.3522,280.25,79,100,1.96,CN,1702407854
108,san pedro,14.35,121.0167,299.99,85,75,1.03,PH,1702407854
109,makrana,27.05,74.7167,288.04,27,11,2.44,IN,1702407855
110,tofol,5.3248,163.0078,301.28,78,100,6.64,FM,1702407855
111,aykhal,66.0,111.5,247.76,98,100,3.35,RU,1702407856
112,san julian,21.0167,-102.1667,288.87,44,100,2.03,MX,1702407856
113,ola,59.5833,151.2833,264.61,85,100,2.23,RU,1702407857
114,rikaze,29.25,88.8833,266.74,57,0,1.3,CN,1702407858
115,nova vicosa,-17.8919,-39.3719,301.36,68,95,7.05,BR,1702407690
116,auki,-8.7676,160.7034,297.71,90,73,1.14,SB,1702407858
117,novyy urengoy,66.0833,76.6333,251.98,97,99,4.42,RU,1702407859
118,san pedro carcha,15.4833,-90.2667,289.49,94,100,2.06,GT,1702407859
119,salekhard,66.53,66.6019,255.98,89,100,4.51,RU,1702407859
120,kirakira,-10.4544,161.9205,298.7,88,59,2.41,SB,1702407859
121,jiuquan,39.7432,98.5174,268.79,48,96,2.3,CN,1702407859
122,burang,30.25,81.1667,261.15,92,100,3.06,CN,1702407859
123,chiredzi,-21.05,31.6667,296.23,85,100,5.18,ZW,1702407859
124,nchelenge,-9.3451,28.734,294.81,84,89,0.12,ZM,1702407860
125,aras-asan,8.8908,126.3033,299.47,83,86,3.09,PH,1702407860
126,konstantinovka,49.6167,127.9833,241.95,93,5,2.02,RU,1702407860
127,borskoye,53.0333,51.7167,253.16,76,100,6.79,RU,1702407860
128,tondano,1.3038,124.9112,293.2,94,100,1.41,ID,1702407860
129,ceerigaabo,10.6162,47.368,288.88,76,12,1.29,SO,1702407860
130,crane,31.3974,-102.3501,286.65,54,100,10.1,US,1702407861
131,antofagasta,-23.65,-70.4,293.75,63,11,5.3,CL,1702407790
132,fort saskatchewan,53.7168,-113.2187,274.52,59,9,2.68,CA,1702407698
133,isafjordur,66.0755,-23.124,269.17,68,40,1.54,IS,1702407863
134,punta del este,-34.9667,-54.95,303.21,51,40,3.6,UY,1702407863
135,labytnangi,66.6572,66.4183,255.92,88,100,3.9,RU,1702407863
136,dunedin,-45.8742,170.5036,282.48,91,100,4.02,NZ,1702407864
137,turabah,21.2141,41.6331,292.58,60,2,4.2,SA,1702407864
138,okha,53.5739,142.9478,251.78,91,60,9.64,RU,1702407864
139,uturoa,-16.7333,-151.4333,299.83,79,100,8.71,PF,1702407864
140,springbok,-29.6643,17.8865,289.95,40,0,2.53,ZA,1702407865
141,tynda,55.1667,124.7167,235.27,97,22,1.78,RU,1702407865
142,saint-pierre,-21.3393,55.4781,296.97,78,0,2.06,RE,1702407865
143,argostolion,38.1811,20.489,286.34,56,94,1.39,GR,1702407865
144,souillac,-20.5167,57.5167,298.36,94,75,0.0,MU,1702407865
145,port saint john's,-31.6229,29.5448,292.66,84,100,6.89,ZA,1702407866
146,san patricio,28.017,-97.5169,295.85,51,100,5.25,US,1702407867
147,isangel,-19.55,169.2667,296.21,88,75,1.03,VU,1702407868
148,labrador city,52.9463,-66.9114,264.1,79,100,4.12,CA,1702407868
149,quellon,-43.1167,-73.6167,285.08,68,100,2.6,CL,1702407768
150,tillaberi,14.2117,1.4531,295.58,18,0,4.49,NE,1702407869
151,novyy turtkul',41.55,61.0167,256.1,48,100,8.51,UZ,1702407869
152,mitsamiouli,-11.3847,43.2844,301.36,73,21,2.71,KM,1702407869
153,zhangye,38.9342,100.4517,272.91,31,27,2.51,CN,1702407870
154,sake,-1.5736,29.045,290.72,95,99,0.61,CD,1702407870
155,new norfolk,-42.7826,147.0587,286.32,75,100,1.13,AU,1702407870
156,el bauga,18.262,33.9081,294.02,24,100,7.77,SD,1702407870
157,upper grand lagoon,30.1633,-85.7408,289.23,44,100,2.68,US,1702407870
158,vila franca do campo,37.7167,-25.4333,288.38,74,3,4.97,PT,1702407871
159,swakopmund,-22.6833,14.5333,290.36,80,3,1.34,NA,1702407871
160,riofrio,4.1571,-76.2885,297.78,92,99,1.8,CO,1702407619
161,kavaratti,10.5669,72.642,301.24,71,8,1.6,IN,1702407871
162,saudarkrokur,65.7461,-19.6394,268.96,67,100,8.11,IS,1702407872
163,udachny,66.4167,112.4,249.67,97,100,3.58,RU,1702407872
164,susuman,62.7833,148.1667,247.03,96,100,1.34,RU,1702407873
165,rabaul,-4.1967,152.1721,299.62,81,93,2.98,PG,1702407873
166,sandnessjoen,66.0217,12.6316,270.21,61,0,2.57,NO,1702407798
167,sao geraldo do araguaia,-6.4006,-48.555,301.91,75,78,0.65,BR,1702407874
168,tobelo,1.7284,128.0095,299.74,84,100,2.42,ID,1702407874
169,ta`u,-14.2336,-169.5144,299.89,87,100,8.03,AS,1702407874
170,bryan,30.6744,-96.37,293.61,50,0,3.09,US,1702407605
171,atafu village,-8.5421,-172.5159,302.09,76,100,6.82,TK,1702407875
172,vuktyl,63.8567,57.3094,253.21,93,100,6.71,RU,1702407876
173,nuuk,64.1835,-51.7216,267.49,79,100,4.12,GL,1702407023
174,soio,-6.1349,12.3689,300.86,77,97,2.24,AO,1702407876
175,oppdal,62.5943,9.6912,261.71,88,42,3.66,NO,1702407876
176,floro,61.5996,5.0328,275.13,87,75,7.72,NO,1702407798
177,mareeba,-17.0,145.4333,296.73,91,100,2.07,AU,1702407876
178,lerwick,60.1545,-1.1494,276.15,85,50,3.34,GB,1702407876
179,abalak,58.1286,68.5944,247.79,86,100,4.43,RU,1702407877
180,sisimiut,66.9395,-53.6735,266.36,92,100,7.31,GL,1702407877
181,hamilton,39.1834,-84.5333,283.66,50,0,5.14,US,1702407769
182,stanley,54.868,-1.6985,280.11,96,75,4.63,GB,1702407877
183,nema,57.5067,50.5011,256.1,77,100,6.54,RU,1702407877
184,bay city,43.5945,-83.8889,276.33,60,75,8.75,US,1702407623
185,petrovsk-zabaykal'skiy,51.273,108.843,245.22,100,30,0.71,RU,1702407877
186,bandundu,-3.3167,17.3667,296.31,96,100,0.99,CD,1702407878
187,margaret river,-33.95,115.0667,289.0,90,3,2.31,AU,1702407879
188,cadale,2.7603,46.3222,300.64,77,97,6.82,SO,1702407879
189,tyukalinsk,55.8732,72.1967,245.21,92,100,3.24,RU,1702407879
190,robbah,33.2797,6.9098,290.95,29,100,3.82,DZ,1702407879
191,carnarvon,-24.8667,113.6333,296.17,76,0,5.29,AU,1702407879
192,rongelap,11.1635,166.8941,300.5,76,88,10.29,MH,1702407879
193,moranbah,-22.0016,148.0466,296.07,85,86,7.55,AU,1702407879
194,tezu,27.9167,96.1667,289.35,66,100,1.72,IN,1702407879
195,darovskoy,58.77,47.9564,257.86,77,100,6.24,RU,1702407880
196,yanam,16.7333,82.2167,294.72,83,41,1.59,IN,1702407880
197,balaklava,44.5,33.6,281.69,66,100,0.69,UA,1702407880
198,puerto baquerizo moreno,-0.9,-89.6,301.7,70,75,5.14,EC,1702407881
199,pauini,-7.7136,-66.9764,304.2,60,99,0.79,BR,1702407881
200,luwuk,-0.9516,122.7875,299.26,80,98,1.86,ID,1702407881
